Inventory_Level,Units_Ordered,Price,Discount,Holiday_Promotion,Competitor_Pricing,Month,DayOfWeek,Weather_Condition_Cloudy,Weather_Condition_Rainy,Weather_Condition_Snowy,Weather_Condition_Sunny,Seasonality_Autumn,Seasonality_Spring,Seasonality_Summer,Seasonality_Winter,Region_North,Region_South,Region_West,Category_Clothing,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Actual_Sales,Predicted_Demand,Lead_Time,Safety_Stock,Reorder_Point,Needs_Restock,Days_Remaining,Stockout_Days,Estimated_Lost_Revenue,Category_Name,Annual_Holding_Cost,Days_of_Supply,Is_Overstocked,Suggested_Price
225,144,40.47,0,1,41.97,10,1,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,138,112.51996,5,146.0,709.0,True,1.9996452452283042,3.0003547547716956,13662.66360168457,Clothing,2276.4375,1.9996452452283042,False,40.47
200,119,18.65,15,1,16.65,3,5,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,105,100.85222,2,146.0,348.0,True,1.9830996553268947,0.016900344673105305,31.787754821777494,Groceries,932.4999999999999,1.9830996553268947,False,18.65
145,137,20.33,15,0,18.04,12,5,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,70,72.42924,3,146.0,364.0,True,2.0019539798250268,0.9980460201749732,1469.6091869354243,Electronics,736.9625,2.0019539798250268,False,20.33
350,157,98.65,15,0,95.43,12,5,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,105,173.92914,5,146.0,1016.0,True,2.012313771316177,2.987686228683823,51263.04740905762,Clothing,8631.875,2.012313771316177,False,98.65
145,145,10.04,20,0,13.01,1,6,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,76,83.30943,5,146.0,563.0,True,1.7404991824742704,3.25950081752573,2726.3335357666015,Clothing,363.95,1.7404991824742704,False,10.04
371,80,11.27,10,0,6.58,2,6,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,206,175.55223,5,146.0,1024.0,True,2.1133311621017348,2.8866688378982652,5711.198207550048,Clothing,1045.2925,2.1133311621017348,False,11.27
113,145,30.53,15,0,34.65,9,4,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,87,57.475365,7,146.0,549.0,True,1.9660597304461418,5.033940269553858,8833.170186843872,Toys,862.4725000000001,1.9660597304461418,False,30.53
464,93,50.23,15,1,54.12,11,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,53,233.07089,7,146.0,1778.0,True,1.9908105870856683,5.009189412914331,58643.336453552234,Toys,5826.679999999999,1.9908105870856683,False,50.23
132,68,61.78,15,0,59.69,8,2,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,129,64.5263,7,146.0,598.0,True,2.0456775457692387,4.954322454230761,19750.083059234617,Toys,2038.74,2.0456775457692387,False,61.78
134,176,17.63,0,1,21.23,5,0,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,55,66.45247,5,146.0,479.0,True,2.0164788799339797,2.9835211200660203,3495.365131072998,Clothing,590.605,2.0164788799339797,False,17.63
108,111,74.36,15,1,75.09,8,2,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,9,50.74852,5,146.0,400.0,True,2.1281408840734186,2.8718591159265814,10837.419697875977,Clothing,2007.72,2.1281408840734186,False,74.36
241,24,34.1,20,1,37.34,5,1,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,128,114.86684,7,146.0,951.0,True,2.0980816329838032,4.901918367016197,19200.613883972168,Toys,2054.525,2.0980816329838032,False,34.1
